ep_id,month,avg_capacity_factor_hydro
5000101,2,0.02506
5000101,3,0.01616
5000101,4,0.06403
5000101,5,0.21471
5000101,6,0.18154
5000101,7,0.10719
5000101,8,0.05156
5000101,9,0.00000
5000101,10,0.00000
5000101,11,0.00000
5000101,12,0.00000
5000102,1,0.00000
5000102,2,0.02506
5000102,3,0.01616
5000102,4,0.06403
5000102,5,0.21471
5000102,6,0.18154
5000102,7,0.10719
5000102,8,0.05156
5000102,9,0.00000
5000102,10,0.00000
5000102,11,0.00000
5000102,12,0.00000
5000103,1,0.31250
5000103,2,0.32500
5000103,3,0.38750
5000103,4,0.45000
5000103,5,0.45000
5000103,6,0.57500
5000103,7,0.70000
5000103,8,0.65000
5000103,9,0.43750
5000103,10,0.45000
5000103,11,0.26250
5000103,12,0.28750
5000104,1,0.12891
5000104,2,0.12109
5000104,3,0.14453
5000104,4,0.18359
5000104,5,0.21094
5000104,6,0.21094
5000104,7,0.20703
5000104,8,0.18359
5000104,9,0.12891
5000104,10,0.09766
5000104,11,0.09375
5000104,12,0.09766
5000105,1,0.38857
