breakpoint_id,load_area,price_dollars_per_mbtu,mbtus_per_year,breakpoint_mbtus_per_year
6,WA_ID_AVA,3.65591397849462,3667500.38328016,66745622.1407118
7,WA_ID_AVA,3.82290934645116,12448670.3114912,79194292.452203
8,WA_ID_AVA,4.16129032258065,517576.624676637,79711869.0768797
9,WA_ID_AVA,5.43921293042867,4017447.02226149,83729316.0991412
1,WA_N_CEN,1.38709677419355,260059.537897,860879.625349141
2,WA_N_CEN,2.08064516129032,584177.319591564,1445056.94494071
3,WA_N_CEN,2.19354838709677,536314.188017156,1981371.13295786
4,WA_N_CEN,2.9247311827957,259436.53810586,2240807.67106372
5,WA_N_CEN,3.46774193548387,624682.134747427,2865489.80581115
6,WA_N_CEN,3.65591397849462,241821.01518237,3107310.82099352
7,WA_N_CEN,3.82290934645116,5698537.61722956,8805848.43822308
8,WA_N_CEN,4.16129032258065,165904.887283092,8971753.32550617
9,WA_N_CEN,5.43921293042867,1595824.27974022,10567577.6052464
1,WA_SEATAC,1.38709677419355,604680.16997792,2079260.46628034
2,WA_SEATAC,2.08064516129032,2537897.89011083,4617158.35639117
3,WA_SEATAC,2.19354838709677,251145.834534443,4868304.19092561
4,WA_SEATAC,2.9247311827957,121489.245160971,4989793.43608658
5,WA_SEATAC,3.46774193548387,3246212.5857831,8236006.02186968
6,WA_SEATAC,3.65591397849462,113240.227506343,8349246.24937602
7,WA_SEATAC,3.82290934645116,461.331901517677,8349707.58127754
8,WA_SEATAC,4.16129032258065,384080.075663933,8733787.65694147
9,WA_SEATAC,5.43921293042867,129.191855684994,8733916.84879716
1,WA_W,1.38709677419355,3526709.01972632,12165417.4234883
2,WA_W,2.08064516129032,34176253.1689053,46341670.5923936
3,WA_W,2.19354838709677,7380971.99356469,53722642.5859583
4,WA_W,2.9247311827957,3570470.19201895,57293112.7779772
5,WA_W,3.46774193548387,48394313.7933381,105687426.571315
6,WA_W,3.65591397849462,3328038.26640189,109015464.837717
7,WA_W,3.82290934645116,321404.616319301,109336869.454037
8,WA_W,4.16129032258065,2212573.01480049,111549442.468837
9,WA_W,5.43921293042867,90006.4762949405,111639448.945132
1,WY_NE,1.38709677419355,293545.867847483,332616.046692681
2,WY_NE,2.08064516129032,682696.266407889,1015312.31310057
3,WY_NE,2.19354838709677,645176.750690749,1660489.06379132
4,WY_NE,2.9247311827957,313033.680763515,1973522.74455483
5,WY_NE,3.46774193548387,1163888.75246517,3137411.49702001
6,WY_NE,3.65591397849462,296737.830493406,3434149.32751341
7,WY_NE,3.82290934645116,121884.087647844,3556033.41516126
8,WY_NE,4.16129032258065,993533.467752443,4549566.8829137
9,WY_NE,5.43921293042867,78179.4449353047,4627746.32784901
1,WY_NW,1.38709677419355,107101.884867098,126237.857146566
2,WY_NW,2.08064516129032,72558.0176841732,198795.874830739
3,WY_NW,2.19354838709677,65756.6567924524,264552.531623191
4,WY_NW,2.9247311827957,31882.0154428104,296434.547066002
5,WY_NW,3.46774193548387,3318.87103233623,299753.418098338
6,WY_NW,3.65591397849462,29939.2051169084,329692.623215246
7,WY_NW,3.82290934645116,501052.293843088,830744.917058334
1,WY_SE,1.38709677419355,1215176.39282766,1749161.80943697
2,WY_SE,2.08064516129032,1655182.73167357,3404344.54111054
3,WY_SE,2.19354838709677,119131.09445526,3523475.6355658
4,WY_SE,2.9247311827957,57440.8001779748,3580916.43574377
5,WY_SE,3.46774193548387,2424404.4195732,6005320.85531698
6,WY_SE,3.65591397849462,53910.8921866227,6059231.7475036
7,WY_SE,3.82290934645116,2329940.18348121,8389171.93098481
8,WY_SE,4.16129032258065,80792.5130694142,8469964.44405422
1,WY_SW,1.38709677419355,92794.7550742791,107415.583905457
2,WY_SW,2.08064516129032,62677.0709951962,170092.654900654
3,WY_SW,2.19354838709677,27844.4276432191,197937.082543873
4,WY_SW,2.9247311827957,13500.3284921689,211437.411036042
5,WY_SW,3.46774193548387,2335.26251932433,213772.673555366
6,WY_SW,3.65591397849462,12677.652187304,226450.32574267
7,WY_SW,3.82290934645116,31769.4799005315,258219.805643201
