breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
1,AZ_APS_E,2054,1.8640,681448
2,AZ_APS_E,2054,3.8482,996270
3,AZ_APS_E,2054,4.4504,4126082
4,AZ_APS_E,2054,4.7604,7228078
5,AZ_APS_E,2054,565.1593,7252959
6,AZ_APS_E,2054,1213.9689,7263336
7,AZ_APS_E,2054,1248.8130,7271113
8,AZ_APS_E,2054,1634.5481,7280030
9,AZ_APS_E,2054,999999999.0000,
1,AZ_APS_E,2055,1.8640,681448
2,AZ_APS_E,2055,3.8482,996270
3,AZ_APS_E,2055,4.4504,4126082
4,AZ_APS_E,2055,4.7604,7228078
5,AZ_APS_E,2055,565.1593,7252959
6,AZ_APS_E,2055,1213.9689,7263336
7,AZ_APS_E,2055,1248.8130,7271113
8,AZ_APS_E,2055,1634.5481,7280030
9,AZ_APS_E,2055,999999999.0000,
1,AZ_APS_E,2056,1.8640,681448
2,AZ_APS_E,2056,3.8482,996270
3,AZ_APS_E,2056,4.4504,4126082
4,AZ_APS_E,2056,4.7604,7228078
5,AZ_APS_E,2056,565.1593,7252959
6,AZ_APS_E,2056,1213.9689,7263336
7,AZ_APS_E,2056,1248.8130,7271113
8,AZ_APS_E,2056,1634.5481,7280030
9,AZ_APS_E,2056,999999999.0000,
1,AZ_APS_E,2057,1.8640,681448
2,AZ_APS_E,2057,3.8482,996270
3,AZ_APS_E,2057,4.4504,4126082
4,AZ_APS_E,2057,4.7604,7228078
5,AZ_APS_E,2057,565.1593,7252959
6,AZ_APS_E,2057,1213.9689,7263336
7,AZ_APS_E,2057,1248.8130,7271113
8,AZ_APS_E,2057,1634.5481,7280030
9,AZ_APS_E,2057,999999999.0000,
1,AZ_APS_E,2058,1.8640,681448
2,AZ_APS_E,2058,3.8482,996270
3,AZ_APS_E,2058,4.4504,4126082
4,AZ_APS_E,2058,4.7604,7228078
5,AZ_APS_E,2058,565.1593,7252959
6,AZ_APS_E,2058,1213.9689,7263336
7,AZ_APS_E,2058,1248.8130,7271113
8,AZ_APS_E,2058,1634.5481,7280030
9,AZ_APS_E,2058,999999999.0000,
1,AZ_APS_E,2059,1.8640,681448
2,AZ_APS_E,2059,3.8482,996270
3,AZ_APS_E,2059,4.4504,4126082
4,AZ_APS_E,2059,4.7604,7228078
5,AZ_APS_E,2059,565.1593,7252959
6,AZ_APS_E,2059,1213.9689,7263336
7,AZ_APS_E,2059,1248.8130,7271113
8,AZ_APS_E,2059,1634.5481,7280030
9,AZ_APS_E,2059,999999999.0000,
1,AZ_APS_E,2060,1.8640,681448
2,AZ_APS_E,2060,3.8482,996270
3,AZ_APS_E,2060,4.4504,4126082
4,AZ_APS_E,2060,4.7604,7228078
5,AZ_APS_E,2060,565.1593,7252959
6,AZ_APS_E,2060,1213.9689,7263336
7,AZ_APS_E,2060,1248.8130,7271113
8,AZ_APS_E,2060,1634.5481,7280030
9,AZ_APS_E,2060,999999999.0000,
1,AZ_APS_E,2061,1.8640,681448
2,AZ_APS_E,2061,3.8482,996270
3,AZ_APS_E,2061,4.4504,4126082
4,AZ_APS_E,2061,4.7604,7228078
5,AZ_APS_E,2061,565.1593,7252959
6,AZ_APS_E,2061,1213.9689,7263336
7,AZ_APS_E,2061,1248.8130,7271113
8,AZ_APS_E,2061,1634.5481,7280030
9,AZ_APS_E,2061,999999999.0000,
1,AZ_APS_E,2062,1.8640,681448
2,AZ_APS_E,2062,3.8482,996270
3,AZ_APS_E,2062,4.4504,4126082
4,AZ_APS_E,2062,4.7604,7228078
5,AZ_APS_E,2062,565.1593,7252959
6,AZ_APS_E,2062,1213.9689,7263336
7,AZ_APS_E,2062,1248.8130,7271113
8,AZ_APS_E,2062,1634.5481,7280030
9,AZ_APS_E,2062,999999999.0000,
1,AZ_APS_E,2063,1.8640,681448
2,AZ_APS_E,2063,3.8482,996270
