ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2020051518	2018	20200515	240.0	5	18
2020051520	2018	20200515	240.0	5	20
2020051522	2018	20200515	240.0	5	22
2020052001	2018	20200520	8.0	5	1
2020052003	2018	20200520	8.0	5	3
2020052005	2018	20200520	8.0	5	5
2020052007	2018	20200520	8.0	5	7
2020052009	2018	20200520	8.0	5	9
2020052011	2018	20200520	8.0	5	11
2020052013	2018	20200520	8.0	5	13
2020052015	2018	20200520	8.0	5	15
2020052017	2018	20200520	8.0	5	17
2020052019	2018	20200520	8.0	5	19
2020052021	2018	20200520	8.0	5	21
2020052023	2018	20200520	8.0	5	23
2020061400	2018	20200614	232.0	6	0
2020061402	2018	20200614	232.0	6	2
2020061404	2018	20200614	232.0	6	4
2020061406	2018	20200614	232.0	6	6
2020061408	2018	20200614	232.0	6	8
2020061410	2018	20200614	232.0	6	10
2020061412	2018	20200614	232.0	6	12
2020061414	2018	20200614	232.0	6	14
2020061416	2018	20200614	232.0	6	16
2020061418	2018	20200614	232.0	6	18
2020061420	2018	20200614	232.0	6	20
2020061422	2018	20200614	232.0	6	22
2020063001	2018	20200630	8.0	6	1
2020063003	2018	20200630	8.0	6	3
2020063005	2018	20200630	8.0	6	5
2020063007	2018	20200630	8.0	6	7
2020063009	2018	20200630	8.0	6	9
2020063011	2018	20200630	8.0	6	11
2020063013	2018	20200630	8.0	6	13
2020063015	2018	20200630	8.0	6	15
2020063017	2018	20200630	8.0	6	17
2020063019	2018	20200630	8.0	6	19
2020063021	2018	20200630	8.0	6	21
2020063023	2018	20200630	8.0	6	23
2020071000	2018	20200710	240.0	7	0
2020071002	2018	20200710	240.0	7	2
2020071004	2018	20200710	240.0	7	4
2020071006	2018	20200710	240.0	7	6
2020071008	2018	20200710	240.0	7	8
2020071010	2018	20200710	240.0	7	10
2020071012	2018	20200710	240.0	7	12
2020071014	2018	20200710	240.0	7	14
2020071016	2018	20200710	240.0	7	16
2020071018	2018	20200710	240.0	7	18
2020071020	2018	20200710	240.0	7	20
2020071022	2018	20200710	240.0	7	22
2020071101	2018	20200711	8.0	7	1
2020071103	2018	20200711	8.0	7	3
2020071105	2018	20200711	8.0	7	5
2020071107	2018	20200711	8.0	7	7
2020071109	2018	20200711	8.0	7	9
2020071111	2018	20200711	8.0	7	11
2020071113	2018	20200711	8.0	7	13
2020071115	2018	20200711	8.0	7	15
2020071117	2018	20200711	8.0	7	17
2020071119	2018	20200711	8.0	7	19
2020071121	2018	20200711	8.0	7	21
